[2024-12-19T06:52:07.312+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-19T06:52:07.339+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: instacart_etl.etl_dim_order_products manual__2024-12-19T06:43:25.324539+00:00 [queued]>
[2024-12-19T06:52:07.354+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: instacart_etl.etl_dim_order_products manual__2024-12-19T06:43:25.324539+00:00 [queued]>
[2024-12-19T06:52:07.355+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-12-19T06:58:56.979+0000] {logging_mixin.py:190} INFO - Batch 40: 1000 rows inserted
[2024-12-19T06:58:57.073+0000] {logging_mixin.py:190} INFO - Batch 41: 1000 rows inserted
[2024-12-19T06:58:57.167+0000] {logging_mixin.py:190} INFO - Batch 42: 1000 rows inserted
[2024-12-19T06:58:57.275+0000] {logging_mixin.py:190} INFO - Batch 43: 1000 rows inserted
[2024-12-19T06:58:57.386+0000] {logging_mixin.py:190} INFO - Batch 44: 1000 rows inserted
[2024-12-19T06:58:57.475+0000] {logging_mixin.py:190} INFO - Batch 45: 1000 rows inserted
[2024-12-19T06:58:57.567+0000] {logging_mixin.py:190} INFO - Batch 46: 1000 rows inserted
[2024-12-19T06:58:57.627+0000] {logging_mixin.py:190} INFO - Batch 47: 1000 rows inserted
[2024-12-19T06:58:57.700+0000] {logging_mixin.py:190} INFO - Batch 48: 1000 rows inserted
[2024-12-19T06:58:57.758+0000] {logging_mixin.py:190} INFO - Batch 49: 1000 rows inserted
[2024-12-19T06:58:57.814+0000] {logging_mixin.py:190} INFO - Batch 50: 1000 rows inserted
[2024-12-19T06:58:57.871+0000] {logging_mixin.py:190} INFO - Batch 51: 1000 rows inserted
[2024-12-19T06:58:57.933+0000] {logging_mixin.py:190} INFO - Batch 52: 1000 rows inserted
[2024-12-19T06:58:58.004+0000] {logging_mixin.py:190} INFO - Batch 53: 1000 rows inserted
[2024-12-19T06:58:58.059+0000] {logging_mixin.py:190} INFO - Batch 54: 1000 rows inserted
[2024-12-19T06:58:58.114+0000] {logging_mixin.py:190} INFO - Batch 55: 1000 rows inserted
[2024-12-19T06:58:58.171+0000] {logging_mixin.py:190} INFO - Batch 56: 1000 rows inserted
[2024-12-19T06:58:58.231+0000] {logging_mixin.py:190} INFO - Batch 57: 1000 rows inserted
[2024-12-19T06:58:58.286+0000] {logging_mixin.py:190} INFO - Batch 58: 1000 rows inserted
[2024-12-19T06:58:58.346+0000] {logging_mixin.py:190} INFO - Batch 59: 1000 rows inserted
[2024-12-19T06:58:58.408+0000] {logging_mixin.py:190} INFO - Batch 60: 1000 rows inserted
[2024-12-19T06:58:58.468+0000] {logging_mixin.py:190} INFO - Batch 61: 1000 rows inserted
[2024-12-19T06:58:58.520+0000] {logging_mixin.py:190} INFO - Batch 62: 1000 rows inserted
[2024-12-19T06:58:58.584+0000] {logging_mixin.py:190} INFO - Batch 63: 1000 rows inserted
[2024-12-19T06:58:58.641+0000] {logging_mixin.py:190} INFO - Batch 64: 1000 rows inserted
[2024-12-19T06:58:58.709+0000] {logging_mixin.py:190} INFO - Batch 65: 1000 rows inserted
[2024-12-19T06:58:58.766+0000] {logging_mixin.py:190} INFO - Batch 66: 1000 rows inserted
[2024-12-19T06:58:58.820+0000] {logging_mixin.py:190} INFO - Batch 67: 1000 rows inserted
[2024-12-19T06:58:58.880+0000] {logging_mixin.py:190} INFO - Batch 68: 1000 rows inserted
[2024-12-19T06:58:58.943+0000] {logging_mixin.py:190} INFO - Batch 69: 1000 rows inserted
[2024-12-19T06:58:59.011+0000] {logging_mixin.py:190} INFO - Batch 70: 1000 rows inserted
[2024-12-19T06:58:59.081+0000] {logging_mixin.py:190} INFO - Batch 71: 1000 rows inserted
[2024-12-19T06:58:59.160+0000] {logging_mixin.py:190} INFO - Batch 72: 1000 rows inserted
[2024-12-19T06:58:59.243+0000] {logging_mixin.py:190} INFO - Batch 73: 1000 rows inserted
[2024-12-19T06:58:59.323+0000] {logging_mixin.py:190} INFO - Batch 74: 1000 rows inserted
[2024-12-19T06:58:59.433+0000] {logging_mixin.py:190} INFO - Batch 75: 1000 rows inserted
[2024-12-19T06:58:59.530+0000] {logging_mixin.py:190} INFO - Batch 76: 1000 rows inserted
[2024-12-19T06:58:59.615+0000] {logging_mixin.py:190} INFO - Batch 77: 1000 rows inserted
[2024-12-19T06:58:59.700+0000] {logging_mixin.py:190} INFO - Batch 78: 1000 rows inserted
[2024-12-19T06:58:59.770+0000] {logging_mixin.py:190} INFO - Batch 79: 1000 rows inserted
[2024-12-19T06:58:59.847+0000] {logging_mixin.py:190} INFO - Batch 80: 1000 rows inserted
[2024-12-19T06:58:59.920+0000] {logging_mixin.py:190} INFO - Batch 81: 1000 rows inserted
[2024-12-19T06:58:59.991+0000] {logging_mixin.py:190} INFO - Batch 82: 1000 rows inserted
[2024-12-19T06:59:00.057+0000] {logging_mixin.py:190} INFO - Batch 83: 1000 rows inserted
[2024-12-19T06:59:00.133+0000] {logging_mixin.py:190} INFO - Batch 84: 1000 rows inserted
[2024-12-19T06:59:00.204+0000] {logging_mixin.py:190} INFO - Batch 85: 1000 rows inserted
[2024-12-19T06:59:00.268+0000] {logging_mixin.py:190} INFO - Batch 86: 1000 rows inserted
[2024-12-19T06:59:00.341+0000] {logging_mixin.py:190} INFO - Batch 87: 1000 rows inserted
[2024-12-19T06:59:00.413+0000] {logging_mixin.py:190} INFO - Batch 88: 1000 rows inserted
[2024-12-19T06:59:00.483+0000] {logging_mixin.py:190} INFO - Batch 89: 1000 rows inserted
[2024-12-19T06:59:00.547+0000] {logging_mixin.py:190} INFO - Batch 90: 1000 rows inserted
[2024-12-19T06:59:00.615+0000] {logging_mixin.py:190} INFO - Batch 91: 1000 rows inserted
[2024-12-19T06:59:00.696+0000] {logging_mixin.py:190} INFO - Batch 92: 1000 rows inserted
[2024-12-19T06:59:00.766+0000] {logging_mixin.py:190} INFO - Batch 93: 1000 rows inserted
[2024-12-19T06:59:00.835+0000] {logging_mixin.py:190} INFO - Batch 94: 1000 rows inserted
[2024-12-19T06:59:00.900+0000] {logging_mixin.py:190} INFO - Batch 95: 1000 rows inserted
[2024-12-19T06:59:00.962+0000] {logging_mixin.py:190} INFO - Batch 96: 1000 rows inserted
[2024-12-19T06:59:01.036+0000] {logging_mixin.py:190} INFO - Batch 97: 1000 rows inserted
[2024-12-19T06:59:01.114+0000] {logging_mixin.py:190} INFO - Batch 98: 1000 rows inserted
[2024-12-19T06:59:01.179+0000] {logging_mixin.py:190} INFO - Batch 99: 1000 rows inserted
[2024-12-19T06:59:01.259+0000] {logging_mixin.py:190} INFO - Batch 100: 1000 rows inserted
[2024-12-19T06:59:01.326+0000] {logging_mixin.py:190} INFO - Batch 101: 1000 rows inserted
[2024-12-19T06:59:01.416+0000] {logging_mixin.py:190} INFO - Batch 102: 1000 rows inserted
[2024-12-19T06:59:01.509+0000] {logging_mixin.py:190} INFO - Batch 103: 1000 rows inserted
[2024-12-19T06:59:01.596+0000] {logging_mixin.py:190} INFO - Batch 104: 1000 rows inserted
[2024-12-19T06:59:01.673+0000] {logging_mixin.py:190} INFO - Batch 105: 1000 rows inserted
[2024-12-19T06:59:01.756+0000] {logging_mixin.py:190} INFO - Batch 106: 1000 rows inserted
[2024-12-19T06:59:01.869+0000] {logging_mixin.py:190} INFO - Batch 107: 1000 rows inserted
[2024-12-19T06:59:01.973+0000] {logging_mixin.py:190} INFO - Batch 108: 1000 rows inserted
[2024-12-19T06:59:02.060+0000] {logging_mixin.py:190} INFO - Batch 109: 1000 rows inserted
[2024-12-19T06:59:02.136+0000] {logging_mixin.py:190} INFO - Batch 110: 1000 rows inserted
[2024-12-19T06:59:02.229+0000] {logging_mixin.py:190} INFO - Batch 111: 1000 rows inserted
[2024-12-19T06:59:02.306+0000] {logging_mixin.py:190} INFO - Batch 112: 1000 rows inserted
[2024-12-19T06:59:02.386+0000] {logging_mixin.py:190} INFO - Batch 113: 1000 rows inserted
[2024-12-19T06:59:02.457+0000] {logging_mixin.py:190} INFO - Batch 114: 1000 rows inserted
[2024-12-19T06:59:02.540+0000] {logging_mixin.py:190} INFO - Batch 115: 1000 rows inserted
[2024-12-19T06:59:02.645+0000] {logging_mixin.py:190} INFO - Batch 116: 1000 rows inserted
[2024-12-19T06:59:02.735+0000] {logging_mixin.py:190} INFO - Batch 117: 1000 rows inserted
[2024-12-19T06:59:02.819+0000] {logging_mixin.py:190} INFO - Batch 118: 1000 rows inserted
[2024-12-19T06:59:02.936+0000] {logging_mixin.py:190} INFO - Batch 119: 1000 rows inserted
[2024-12-19T06:59:03.039+0000] {logging_mixin.py:190} INFO - Batch 120: 1000 rows inserted
[2024-12-19T06:59:03.108+0000] {logging_mixin.py:190} INFO - Batch 121: 1000 rows inserted
[2024-12-19T06:59:03.198+0000] {logging_mixin.py:190} INFO - Batch 122: 1000 rows inserted
[2024-12-19T06:59:03.287+0000] {logging_mixin.py:190} INFO - Batch 123: 1000 rows inserted
[2024-12-19T06:59:03.388+0000] {logging_mixin.py:190} INFO - Batch 124: 1000 rows inserted
[2024-12-19T06:59:03.851+0000] {logging_mixin.py:190} INFO - Batch 125: 1000 rows inserted
[2024-12-19T06:59:03.966+0000] {logging_mixin.py:190} INFO - Batch 126: 1000 rows inserted
[2024-12-19T06:59:04.084+0000] {logging_mixin.py:190} INFO - Batch 127: 1000 rows inserted
[2024-12-19T06:59:04.200+0000] {logging_mixin.py:190} INFO - Batch 128: 1000 rows inserted
[2024-12-19T06:59:04.301+0000] {logging_mixin.py:190} INFO - Batch 129: 1000 rows inserted
[2024-12-19T06:59:04.362+0000] {logging_mixin.py:190} INFO - Batch 130: 1000 rows inserted
[2024-12-19T06:59:04.446+0000] {logging_mixin.py:190} INFO - Batch 131: 1000 rows inserted
[2024-12-19T06:59:04.550+0000] {logging_mixin.py:190} INFO - Batch 132: 1000 rows inserted
[2024-12-19T06:59:04.629+0000] {logging_mixin.py:190} INFO - Batch 133: 1000 rows inserted
[2024-12-19T06:59:04.717+0000] {logging_mixin.py:190} INFO - Batch 134: 1000 rows inserted
[2024-12-19T06:59:04.790+0000] {logging_mixin.py:190} INFO - Batch 135: 1000 rows inserted
[2024-12-19T06:59:04.878+0000] {logging_mixin.py:190} INFO - Batch 136: 1000 rows inserted
[2024-12-19T06:59:04.980+0000] {logging_mixin.py:190} INFO - Batch 137: 1000 rows inserted
[2024-12-19T06:59:05.046+0000] {logging_mixin.py:190} INFO - Batch 138: 1000 rows inserted
[2024-12-19T06:59:05.105+0000] {logging_mixin.py:190} INFO - Batch 139: 1000 rows inserted
[2024-12-19T06:59:05.169+0000] {logging_mixin.py:190} INFO - Batch 140: 1000 rows inserted
[2024-12-19T06:59:05.231+0000] {logging_mixin.py:190} INFO - Batch 141: 1000 rows inserted
[2024-12-19T06:59:05.295+0000] {logging_mixin.py:190} INFO - Batch 142: 1000 rows inserted
[2024-12-19T06:59:05.362+0000] {logging_mixin.py:190} INFO - Batch 143: 1000 rows inserted
[2024-12-19T06:59:05.437+0000] {logging_mixin.py:190} INFO - Batch 144: 1000 rows inserted
[2024-12-19T06:59:05.501+0000] {logging_mixin.py:190} INFO - Batch 145: 1000 rows inserted
[2024-12-19T06:59:05.559+0000] {logging_mixin.py:190} INFO - Batch 146: 1000 rows inserted
[2024-12-19T06:59:05.633+0000] {logging_mixin.py:190} INFO - Batch 147: 1000 rows inserted
[2024-12-19T06:59:05.694+0000] {logging_mixin.py:190} INFO - Batch 148: 1000 rows inserted
[2024-12-19T06:59:05.750+0000] {logging_mixin.py:190} INFO - Batch 149: 1000 rows inserted
[2024-12-19T06:59:05.801+0000] {logging_mixin.py:190} INFO - Batch 150: 1000 rows inserted
[2024-12-19T06:59:05.878+0000] {logging_mixin.py:190} INFO - Batch 151: 1000 rows inserted
[2024-12-19T06:59:05.953+0000] {logging_mixin.py:190} INFO - Batch 152: 1000 rows inserted
[2024-12-19T06:59:06.017+0000] {logging_mixin.py:190} INFO - Batch 153: 1000 rows inserted
[2024-12-19T06:59:06.069+0000] {logging_mixin.py:190} INFO - Batch 154: 1000 rows inserted
[2024-12-19T06:59:06.129+0000] {logging_mixin.py:190} INFO - Batch 155: 1000 rows inserted
[2024-12-19T06:59:06.183+0000] {logging_mixin.py:190} INFO - Batch 156: 1000 rows inserted
[2024-12-19T06:59:06.236+0000] {logging_mixin.py:190} INFO - Batch 157: 1000 rows inserted
[2024-12-19T06:59:06.288+0000] {logging_mixin.py:190} INFO - Batch 158: 1000 rows inserted
[2024-12-19T06:59:06.350+0000] {logging_mixin.py:190} INFO - Batch 159: 1000 rows inserted
[2024-12-19T06:59:06.400+0000] {logging_mixin.py:190} INFO - Batch 160: 1000 rows inserted
[2024-12-19T06:59:06.450+0000] {logging_mixin.py:190} INFO - Batch 161: 1000 rows inserted
[2024-12-19T06:59:06.500+0000] {logging_mixin.py:190} INFO - Batch 162: 1000 rows inserted
[2024-12-19T06:59:06.551+0000] {logging_mixin.py:190} INFO - Batch 163: 1000 rows inserted
[2024-12-19T06:59:06.602+0000] {logging_mixin.py:190} INFO - Batch 164: 1000 rows inserted
[2024-12-19T06:59:06.677+0000] {logging_mixin.py:190} INFO - Batch 165: 1000 rows inserted
[2024-12-19T06:59:06.755+0000] {logging_mixin.py:190} INFO - Batch 166: 1000 rows inserted
[2024-12-19T06:59:06.811+0000] {logging_mixin.py:190} INFO - Batch 167: 1000 rows inserted
[2024-12-19T06:59:06.866+0000] {logging_mixin.py:190} INFO - Batch 168: 1000 rows inserted
[2024-12-19T06:59:06.917+0000] {logging_mixin.py:190} INFO - Batch 169: 1000 rows inserted
[2024-12-19T06:59:06.974+0000] {logging_mixin.py:190} INFO - Batch 170: 1000 rows inserted
[2024-12-19T06:59:07.045+0000] {logging_mixin.py:190} INFO - Batch 171: 1000 rows inserted
[2024-12-19T06:59:07.099+0000] {logging_mixin.py:190} INFO - Batch 172: 1000 rows inserted
[2024-12-19T06:59:07.149+0000] {logging_mixin.py:190} INFO - Batch 173: 1000 rows inserted
[2024-12-19T06:59:07.198+0000] {logging_mixin.py:190} INFO - Batch 174: 1000 rows inserted
[2024-12-19T06:59:07.256+0000] {logging_mixin.py:190} INFO - Batch 175: 1000 rows inserted
[2024-12-19T06:59:07.319+0000] {logging_mixin.py:190} INFO - Batch 176: 1000 rows inserted
[2024-12-19T06:59:07.370+0000] {logging_mixin.py:190} INFO - Batch 177: 1000 rows inserted
[2024-12-19T06:59:07.420+0000] {logging_mixin.py:190} INFO - Batch 178: 1000 rows inserted
[2024-12-19T06:59:07.471+0000] {logging_mixin.py:190} INFO - Batch 179: 1000 rows inserted
[2024-12-19T06:59:07.517+0000] {logging_mixin.py:190} INFO - Batch 180: 1000 rows inserted
[2024-12-19T06:59:07.563+0000] {logging_mixin.py:190} INFO - Batch 181: 1000 rows inserted
[2024-12-19T06:59:07.610+0000] {logging_mixin.py:190} INFO - Batch 182: 1000 rows inserted
[2024-12-19T06:59:07.668+0000] {logging_mixin.py:190} INFO - Batch 183: 1000 rows inserted
[2024-12-19T06:59:07.737+0000] {logging_mixin.py:190} INFO - Batch 184: 1000 rows inserted
[2024-12-19T06:59:07.801+0000] {logging_mixin.py:190} INFO - Batch 185: 1000 rows inserted
[2024-12-19T06:59:07.856+0000] {logging_mixin.py:190} INFO - Batch 186: 1000 rows inserted
[2024-12-19T06:59:07.906+0000] {logging_mixin.py:190} INFO - Batch 187: 1000 rows inserted
[2024-12-19T06:59:07.960+0000] {logging_mixin.py:190} INFO - Batch 188: 1000 rows inserted
[2024-12-19T06:59:08.034+0000] {logging_mixin.py:190} INFO - Batch 189: 1000 rows inserted
[2024-12-19T06:59:08.094+0000] {logging_mixin.py:190} INFO - Batch 190: 1000 rows inserted
[2024-12-19T06:59:08.148+0000] {logging_mixin.py:190} INFO - Batch 191: 1000 rows inserted
[2024-12-19T06:59:08.202+0000] {logging_mixin.py:190} INFO - Batch 192: 1000 rows inserted
[2024-12-19T06:59:08.262+0000] {logging_mixin.py:190} INFO - Batch 193: 1000 rows inserted
[2024-12-19T06:59:08.317+0000] {logging_mixin.py:190} INFO - Batch 194: 1000 rows inserted
[2024-12-19T06:59:08.400+0000] {logging_mixin.py:190} INFO - Batch 195: 1000 rows inserted
[2024-12-19T06:59:08.461+0000] {logging_mixin.py:190} INFO - Batch 196: 1000 rows inserted
[2024-12-19T06:59:08.517+0000] {logging_mixin.py:190} INFO - Batch 197: 1000 rows inserted
[2024-12-19T06:59:08.585+0000] {logging_mixin.py:190} INFO - Batch 198: 1000 rows inserted
[2024-12-19T06:59:08.644+0000] {logging_mixin.py:190} INFO - Batch 199: 1000 rows inserted
[2024-12-19T06:59:08.707+0000] {logging_mixin.py:190} INFO - Batch 200: 1000 rows inserted
[2024-12-19T06:59:08.802+0000] {logging_mixin.py:190} INFO - Batch 201: 1000 rows inserted
[2024-12-19T06:59:08.886+0000] {logging_mixin.py:190} INFO - Batch 202: 1000 rows inserted
[2024-12-19T06:59:08.944+0000] {logging_mixin.py:190} INFO - Batch 203: 1000 rows inserted
[2024-12-19T06:59:08.994+0000] {logging_mixin.py:190} INFO - Batch 204: 1000 rows inserted
[2024-12-19T06:59:09.056+0000] {logging_mixin.py:190} INFO - Batch 205: 1000 rows inserted
[2024-12-19T06:59:09.120+0000] {logging_mixin.py:190} INFO - Batch 206: 1000 rows inserted
[2024-12-19T06:59:09.200+0000] {logging_mixin.py:190} INFO - Batch 207: 1000 rows inserted
[2024-12-19T06:59:09.256+0000] {logging_mixin.py:190} INFO - Batch 208: 1000 rows inserted
[2024-12-19T06:59:09.321+0000] {logging_mixin.py:190} INFO - Batch 209: 1000 rows inserted
[2024-12-19T06:59:09.400+0000] {logging_mixin.py:190} INFO - Batch 210: 1000 rows inserted
[2024-12-19T06:59:09.471+0000] {logging_mixin.py:190} INFO - Batch 211: 1000 rows inserted
[2024-12-19T06:59:09.577+0000] {logging_mixin.py:190} INFO - Batch 212: 1000 rows inserted
[2024-12-19T06:59:09.648+0000] {logging_mixin.py:190} INFO - Batch 213: 1000 rows inserted
[2024-12-19T06:59:09.721+0000] {logging_mixin.py:190} INFO - Batch 214: 1000 rows inserted
[2024-12-19T06:59:09.779+0000] {logging_mixin.py:190} INFO - Batch 215: 1000 rows inserted
[2024-12-19T06:59:09.846+0000] {logging_mixin.py:190} INFO - Batch 216: 1000 rows inserted
[2024-12-19T06:59:09.941+0000] {logging_mixin.py:190} INFO - Batch 217: 1000 rows inserted
[2024-12-19T06:59:09.999+0000] {logging_mixin.py:190} INFO - Batch 218: 1000 rows inserted
[2024-12-19T06:59:10.060+0000] {logging_mixin.py:190} INFO - Batch 219: 1000 rows inserted
[2024-12-19T06:59:10.115+0000] {logging_mixin.py:190} INFO - Batch 220: 1000 rows inserted
[2024-12-19T06:59:10.175+0000] {logging_mixin.py:190} INFO - Batch 221: 1000 rows inserted
[2024-12-19T06:59:10.247+0000] {logging_mixin.py:190} INFO - Batch 222: 1000 rows inserted
[2024-12-19T06:59:10.300+0000] {logging_mixin.py:190} INFO - Batch 223: 1000 rows inserted
[2024-12-19T06:59:10.352+0000] {logging_mixin.py:190} INFO - Batch 224: 1000 rows inserted
[2024-12-19T06:59:10.413+0000] {logging_mixin.py:190} INFO - Batch 225: 1000 rows inserted
[2024-12-19T06:59:10.471+0000] {logging_mixin.py:190} INFO - Batch 226: 1000 rows inserted
[2024-12-19T06:59:10.531+0000] {logging_mixin.py:190} INFO - Batch 227: 1000 rows inserted
[2024-12-19T06:59:10.607+0000] {logging_mixin.py:190} INFO - Batch 228: 1000 rows inserted
[2024-12-19T06:59:10.663+0000] {logging_mixin.py:190} INFO - Batch 229: 1000 rows inserted
[2024-12-19T06:59:10.744+0000] {logging_mixin.py:190} INFO - Batch 230: 1000 rows inserted
[2024-12-19T06:59:10.832+0000] {logging_mixin.py:190} INFO - Batch 231: 1000 rows inserted
[2024-12-19T06:59:10.899+0000] {logging_mixin.py:190} INFO - Batch 232: 1000 rows inserted
[2024-12-19T06:59:10.981+0000] {logging_mixin.py:190} INFO - Batch 233: 1000 rows inserted
[2024-12-19T06:59:11.046+0000] {logging_mixin.py:190} INFO - Batch 234: 1000 rows inserted
[2024-12-19T06:59:11.115+0000] {logging_mixin.py:190} INFO - Batch 235: 1000 rows inserted
[2024-12-19T06:59:11.174+0000] {logging_mixin.py:190} INFO - Batch 236: 1000 rows inserted
[2024-12-19T06:59:11.256+0000] {logging_mixin.py:190} INFO - Batch 237: 1000 rows inserted
[2024-12-19T06:59:11.343+0000] {logging_mixin.py:190} INFO - Batch 238: 1000 rows inserted
[2024-12-19T06:59:11.404+0000] {logging_mixin.py:190} INFO - Batch 239: 1000 rows inserted
[2024-12-19T06:59:11.482+0000] {logging_mixin.py:190} INFO - Batch 240: 1000 rows inserted
[2024-12-19T06:59:11.560+0000] {logging_mixin.py:190} INFO - Batch 241: 1000 rows inserted
[2024-12-19T06:59:11.637+0000] {logging_mixin.py:190} INFO - Batch 242: 1000 rows inserted
[2024-12-19T06:59:11.716+0000] {logging_mixin.py:190} INFO - Batch 243: 1000 rows inserted
[2024-12-19T06:59:11.786+0000] {logging_mixin.py:190} INFO - Batch 244: 1000 rows inserted
