[2024-12-19T06:44:17.450+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-19T06:44:17.476+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: instacart_etl.etl_dim_orders manual__2024-12-19T06:43:25.324539+00:00 [queued]>
[2024-12-19T06:44:17.491+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: instacart_etl.etl_dim_orders manual__2024-12-19T06:43:25.324539+00:00 [queued]>
[2024-12-19T06:44:17.493+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-12-19T06:51:25.997+0000] {logging_mixin.py:190} INFO - Batch 55: 1000 rows inserted
[2024-12-19T06:51:26.075+0000] {logging_mixin.py:190} INFO - Batch 56: 1000 rows inserted
[2024-12-19T06:51:26.154+0000] {logging_mixin.py:190} INFO - Batch 57: 1000 rows inserted
[2024-12-19T06:51:26.225+0000] {logging_mixin.py:190} INFO - Batch 58: 1000 rows inserted
[2024-12-19T06:51:26.301+0000] {logging_mixin.py:190} INFO - Batch 59: 1000 rows inserted
[2024-12-19T06:51:26.375+0000] {logging_mixin.py:190} INFO - Batch 60: 1000 rows inserted
[2024-12-19T06:51:26.457+0000] {logging_mixin.py:190} INFO - Batch 61: 1000 rows inserted
[2024-12-19T06:51:26.530+0000] {logging_mixin.py:190} INFO - Batch 62: 1000 rows inserted
[2024-12-19T06:51:26.591+0000] {logging_mixin.py:190} INFO - Batch 63: 1000 rows inserted
[2024-12-19T06:51:26.672+0000] {logging_mixin.py:190} INFO - Batch 64: 1000 rows inserted
[2024-12-19T06:51:26.788+0000] {logging_mixin.py:190} INFO - Batch 65: 1000 rows inserted
[2024-12-19T06:51:26.875+0000] {logging_mixin.py:190} INFO - Batch 66: 1000 rows inserted
[2024-12-19T06:51:26.947+0000] {logging_mixin.py:190} INFO - Batch 67: 1000 rows inserted
[2024-12-19T06:51:27.029+0000] {logging_mixin.py:190} INFO - Batch 68: 1000 rows inserted
[2024-12-19T06:51:27.136+0000] {logging_mixin.py:190} INFO - Batch 69: 1000 rows inserted
[2024-12-19T06:51:27.224+0000] {logging_mixin.py:190} INFO - Batch 70: 1000 rows inserted
[2024-12-19T06:51:27.295+0000] {logging_mixin.py:190} INFO - Batch 71: 1000 rows inserted
[2024-12-19T06:51:27.387+0000] {logging_mixin.py:190} INFO - Batch 72: 1000 rows inserted
[2024-12-19T06:51:27.471+0000] {logging_mixin.py:190} INFO - Batch 73: 1000 rows inserted
[2024-12-19T06:51:27.550+0000] {logging_mixin.py:190} INFO - Batch 74: 1000 rows inserted
[2024-12-19T06:51:27.640+0000] {logging_mixin.py:190} INFO - Batch 75: 1000 rows inserted
[2024-12-19T06:51:27.725+0000] {logging_mixin.py:190} INFO - Batch 76: 1000 rows inserted
[2024-12-19T06:51:27.812+0000] {logging_mixin.py:190} INFO - Batch 77: 1000 rows inserted
[2024-12-19T06:51:27.905+0000] {logging_mixin.py:190} INFO - Batch 78: 1000 rows inserted
[2024-12-19T06:51:28.014+0000] {logging_mixin.py:190} INFO - Batch 79: 1000 rows inserted
[2024-12-19T06:51:28.097+0000] {logging_mixin.py:190} INFO - Batch 80: 1000 rows inserted
[2024-12-19T06:51:28.197+0000] {logging_mixin.py:190} INFO - Batch 81: 1000 rows inserted
[2024-12-19T06:51:28.294+0000] {logging_mixin.py:190} INFO - Batch 82: 1000 rows inserted
[2024-12-19T06:51:28.379+0000] {logging_mixin.py:190} INFO - Batch 83: 1000 rows inserted
[2024-12-19T06:51:28.485+0000] {logging_mixin.py:190} INFO - Batch 84: 1000 rows inserted
[2024-12-19T06:51:28.567+0000] {logging_mixin.py:190} INFO - Batch 85: 1000 rows inserted
[2024-12-19T06:51:28.644+0000] {logging_mixin.py:190} INFO - Batch 86: 1000 rows inserted
[2024-12-19T06:51:28.725+0000] {logging_mixin.py:190} INFO - Batch 87: 1000 rows inserted
[2024-12-19T06:51:28.795+0000] {logging_mixin.py:190} INFO - Batch 88: 1000 rows inserted
[2024-12-19T06:51:28.878+0000] {logging_mixin.py:190} INFO - Batch 89: 1000 rows inserted
[2024-12-19T06:51:28.969+0000] {logging_mixin.py:190} INFO - Batch 90: 1000 rows inserted
[2024-12-19T06:51:29.055+0000] {logging_mixin.py:190} INFO - Batch 91: 1000 rows inserted
[2024-12-19T06:51:29.153+0000] {logging_mixin.py:190} INFO - Batch 92: 1000 rows inserted
[2024-12-19T06:51:29.261+0000] {logging_mixin.py:190} INFO - Batch 93: 1000 rows inserted
[2024-12-19T06:51:29.347+0000] {logging_mixin.py:190} INFO - Batch 94: 1000 rows inserted
[2024-12-19T06:51:29.441+0000] {logging_mixin.py:190} INFO - Batch 95: 1000 rows inserted
[2024-12-19T06:51:29.522+0000] {logging_mixin.py:190} INFO - Batch 96: 1000 rows inserted
[2024-12-19T06:51:29.614+0000] {logging_mixin.py:190} INFO - Batch 97: 1000 rows inserted
[2024-12-19T06:51:29.724+0000] {logging_mixin.py:190} INFO - Batch 98: 1000 rows inserted
[2024-12-19T06:51:29.811+0000] {logging_mixin.py:190} INFO - Batch 99: 1000 rows inserted
[2024-12-19T06:51:29.897+0000] {logging_mixin.py:190} INFO - Batch 100: 1000 rows inserted
[2024-12-19T06:51:29.993+0000] {logging_mixin.py:190} INFO - Batch 101: 1000 rows inserted
[2024-12-19T06:51:30.077+0000] {logging_mixin.py:190} INFO - Batch 102: 1000 rows inserted
[2024-12-19T06:51:30.167+0000] {logging_mixin.py:190} INFO - Batch 103: 1000 rows inserted
[2024-12-19T06:51:30.256+0000] {logging_mixin.py:190} INFO - Batch 104: 1000 rows inserted
[2024-12-19T06:51:30.339+0000] {logging_mixin.py:190} INFO - Batch 105: 1000 rows inserted
[2024-12-19T06:51:30.419+0000] {logging_mixin.py:190} INFO - Batch 106: 1000 rows inserted
[2024-12-19T06:51:30.508+0000] {logging_mixin.py:190} INFO - Batch 107: 1000 rows inserted
[2024-12-19T06:51:30.607+0000] {logging_mixin.py:190} INFO - Batch 108: 1000 rows inserted
[2024-12-19T06:51:30.709+0000] {logging_mixin.py:190} INFO - Batch 109: 1000 rows inserted
[2024-12-19T06:51:30.786+0000] {logging_mixin.py:190} INFO - Batch 110: 1000 rows inserted
[2024-12-19T06:51:30.868+0000] {logging_mixin.py:190} INFO - Batch 111: 1000 rows inserted
[2024-12-19T06:51:30.957+0000] {logging_mixin.py:190} INFO - Batch 112: 1000 rows inserted
[2024-12-19T06:51:31.055+0000] {logging_mixin.py:190} INFO - Batch 113: 1000 rows inserted
[2024-12-19T06:51:31.139+0000] {logging_mixin.py:190} INFO - Batch 114: 1000 rows inserted
[2024-12-19T06:51:31.240+0000] {logging_mixin.py:190} INFO - Batch 115: 1000 rows inserted
[2024-12-19T06:51:31.312+0000] {logging_mixin.py:190} INFO - Batch 116: 1000 rows inserted
[2024-12-19T06:51:31.399+0000] {logging_mixin.py:190} INFO - Batch 117: 1000 rows inserted
[2024-12-19T06:51:31.491+0000] {logging_mixin.py:190} INFO - Batch 118: 1000 rows inserted
[2024-12-19T06:51:31.610+0000] {logging_mixin.py:190} INFO - Batch 119: 1000 rows inserted
[2024-12-19T06:51:31.736+0000] {logging_mixin.py:190} INFO - Batch 120: 1000 rows inserted
[2024-12-19T06:51:31.830+0000] {logging_mixin.py:190} INFO - Batch 121: 1000 rows inserted
[2024-12-19T06:51:31.922+0000] {logging_mixin.py:190} INFO - Batch 122: 1000 rows inserted
[2024-12-19T06:51:32.020+0000] {logging_mixin.py:190} INFO - Batch 123: 1000 rows inserted
[2024-12-19T06:51:32.125+0000] {logging_mixin.py:190} INFO - Batch 124: 1000 rows inserted
[2024-12-19T06:51:32.210+0000] {logging_mixin.py:190} INFO - Batch 125: 1000 rows inserted
[2024-12-19T06:51:32.302+0000] {logging_mixin.py:190} INFO - Batch 126: 1000 rows inserted
[2024-12-19T06:51:32.386+0000] {logging_mixin.py:190} INFO - Batch 127: 1000 rows inserted
[2024-12-19T06:51:32.484+0000] {logging_mixin.py:190} INFO - Batch 128: 1000 rows inserted
[2024-12-19T06:51:32.561+0000] {logging_mixin.py:190} INFO - Batch 129: 1000 rows inserted
[2024-12-19T06:51:32.650+0000] {logging_mixin.py:190} INFO - Batch 130: 1000 rows inserted
[2024-12-19T06:51:32.746+0000] {logging_mixin.py:190} INFO - Batch 131: 1000 rows inserted
[2024-12-19T06:51:32.844+0000] {logging_mixin.py:190} INFO - Batch 132: 1000 rows inserted
[2024-12-19T06:51:32.933+0000] {logging_mixin.py:190} INFO - Batch 133: 1000 rows inserted
[2024-12-19T06:51:33.287+0000] {logging_mixin.py:190} INFO - Batch 134: 1000 rows inserted
[2024-12-19T06:51:33.375+0000] {logging_mixin.py:190} INFO - Batch 135: 1000 rows inserted
[2024-12-19T06:51:33.460+0000] {logging_mixin.py:190} INFO - Batch 136: 1000 rows inserted
[2024-12-19T06:51:33.558+0000] {logging_mixin.py:190} INFO - Batch 137: 1000 rows inserted
[2024-12-19T06:51:33.660+0000] {logging_mixin.py:190} INFO - Batch 138: 1000 rows inserted
[2024-12-19T06:51:33.755+0000] {logging_mixin.py:190} INFO - Batch 139: 1000 rows inserted
[2024-12-19T06:51:33.845+0000] {logging_mixin.py:190} INFO - Batch 140: 1000 rows inserted
[2024-12-19T06:51:33.929+0000] {logging_mixin.py:190} INFO - Batch 141: 1000 rows inserted
[2024-12-19T06:51:34.020+0000] {logging_mixin.py:190} INFO - Batch 142: 1000 rows inserted
[2024-12-19T06:51:34.107+0000] {logging_mixin.py:190} INFO - Batch 143: 1000 rows inserted
[2024-12-19T06:51:34.200+0000] {logging_mixin.py:190} INFO - Batch 144: 1000 rows inserted
[2024-12-19T06:51:34.294+0000] {logging_mixin.py:190} INFO - Batch 145: 1000 rows inserted
[2024-12-19T06:51:34.386+0000] {logging_mixin.py:190} INFO - Batch 146: 1000 rows inserted
[2024-12-19T06:51:34.466+0000] {logging_mixin.py:190} INFO - Batch 147: 1000 rows inserted
[2024-12-19T06:51:34.556+0000] {logging_mixin.py:190} INFO - Batch 148: 1000 rows inserted
[2024-12-19T06:51:34.677+0000] {logging_mixin.py:190} INFO - Batch 149: 1000 rows inserted
[2024-12-19T06:51:34.793+0000] {logging_mixin.py:190} INFO - Batch 150: 1000 rows inserted
[2024-12-19T06:51:34.879+0000] {logging_mixin.py:190} INFO - Batch 151: 1000 rows inserted
[2024-12-19T06:51:34.979+0000] {logging_mixin.py:190} INFO - Batch 152: 1000 rows inserted
[2024-12-19T06:51:35.073+0000] {logging_mixin.py:190} INFO - Batch 153: 1000 rows inserted
[2024-12-19T06:51:35.164+0000] {logging_mixin.py:190} INFO - Batch 154: 1000 rows inserted
[2024-12-19T06:51:35.262+0000] {logging_mixin.py:190} INFO - Batch 155: 1000 rows inserted
[2024-12-19T06:51:35.367+0000] {logging_mixin.py:190} INFO - Batch 156: 1000 rows inserted
[2024-12-19T06:51:35.456+0000] {logging_mixin.py:190} INFO - Batch 157: 1000 rows inserted
[2024-12-19T06:51:35.536+0000] {logging_mixin.py:190} INFO - Batch 158: 1000 rows inserted
[2024-12-19T06:51:35.621+0000] {logging_mixin.py:190} INFO - Batch 159: 1000 rows inserted
[2024-12-19T06:51:35.716+0000] {logging_mixin.py:190} INFO - Batch 160: 1000 rows inserted
[2024-12-19T06:51:35.821+0000] {logging_mixin.py:190} INFO - Batch 161: 1000 rows inserted
[2024-12-19T06:51:35.895+0000] {logging_mixin.py:190} INFO - Batch 162: 1000 rows inserted
[2024-12-19T06:51:35.989+0000] {logging_mixin.py:190} INFO - Batch 163: 1000 rows inserted
[2024-12-19T06:51:36.061+0000] {logging_mixin.py:190} INFO - Batch 164: 1000 rows inserted
[2024-12-19T06:51:36.357+0000] {logging_mixin.py:190} INFO - Batch 165: 1000 rows inserted
[2024-12-19T06:51:36.420+0000] {logging_mixin.py:190} INFO - Batch 166: 1000 rows inserted
[2024-12-19T06:51:36.468+0000] {logging_mixin.py:190} INFO - Batch 167: 1000 rows inserted
[2024-12-19T06:51:36.520+0000] {logging_mixin.py:190} INFO - Batch 168: 1000 rows inserted
[2024-12-19T06:51:36.571+0000] {logging_mixin.py:190} INFO - Batch 169: 1000 rows inserted
[2024-12-19T06:51:36.632+0000] {logging_mixin.py:190} INFO - Batch 170: 1000 rows inserted
[2024-12-19T06:51:36.705+0000] {logging_mixin.py:190} INFO - Batch 171: 1000 rows inserted
[2024-12-19T06:51:36.761+0000] {logging_mixin.py:190} INFO - Batch 172: 1000 rows inserted
[2024-12-19T06:51:36.820+0000] {logging_mixin.py:190} INFO - Batch 173: 1000 rows inserted
[2024-12-19T06:51:36.890+0000] {logging_mixin.py:190} INFO - Batch 174: 1000 rows inserted
[2024-12-19T06:51:36.949+0000] {logging_mixin.py:190} INFO - Batch 175: 1000 rows inserted
[2024-12-19T06:51:37.013+0000] {logging_mixin.py:190} INFO - Batch 176: 1000 rows inserted
[2024-12-19T06:51:37.089+0000] {logging_mixin.py:190} INFO - Batch 177: 1000 rows inserted
[2024-12-19T06:51:37.169+0000] {logging_mixin.py:190} INFO - Batch 178: 1000 rows inserted
[2024-12-19T06:51:37.223+0000] {logging_mixin.py:190} INFO - Batch 179: 1000 rows inserted
[2024-12-19T06:51:37.273+0000] {logging_mixin.py:190} INFO - Batch 180: 1000 rows inserted
[2024-12-19T06:51:37.327+0000] {logging_mixin.py:190} INFO - Batch 181: 1000 rows inserted
[2024-12-19T06:51:37.387+0000] {logging_mixin.py:190} INFO - Batch 182: 1000 rows inserted
[2024-12-19T06:51:37.461+0000] {logging_mixin.py:190} INFO - Batch 183: 1000 rows inserted
[2024-12-19T06:51:37.525+0000] {logging_mixin.py:190} INFO - Batch 184: 1000 rows inserted
[2024-12-19T06:51:37.582+0000] {logging_mixin.py:190} INFO - Batch 185: 1000 rows inserted
[2024-12-19T06:51:37.640+0000] {logging_mixin.py:190} INFO - Batch 186: 1000 rows inserted
[2024-12-19T06:51:37.708+0000] {logging_mixin.py:190} INFO - Batch 187: 1000 rows inserted
[2024-12-19T06:51:37.771+0000] {logging_mixin.py:190} INFO - Batch 188: 1000 rows inserted
[2024-12-19T06:51:37.825+0000] {logging_mixin.py:190} INFO - Batch 189: 1000 rows inserted
[2024-12-19T06:51:37.877+0000] {logging_mixin.py:190} INFO - Batch 190: 1000 rows inserted
[2024-12-19T06:51:37.951+0000] {logging_mixin.py:190} INFO - Batch 191: 1000 rows inserted
[2024-12-19T06:51:38.018+0000] {logging_mixin.py:190} INFO - Batch 192: 1000 rows inserted
[2024-12-19T06:51:38.068+0000] {logging_mixin.py:190} INFO - Batch 193: 1000 rows inserted
[2024-12-19T06:51:38.120+0000] {logging_mixin.py:190} INFO - Batch 194: 1000 rows inserted
[2024-12-19T06:51:38.172+0000] {logging_mixin.py:190} INFO - Batch 195: 1000 rows inserted
[2024-12-19T06:51:38.227+0000] {logging_mixin.py:190} INFO - Batch 196: 1000 rows inserted
[2024-12-19T06:51:38.293+0000] {logging_mixin.py:190} INFO - Batch 197: 1000 rows inserted
[2024-12-19T06:51:38.359+0000] {logging_mixin.py:190} INFO - Batch 198: 1000 rows inserted
[2024-12-19T06:51:38.414+0000] {logging_mixin.py:190} INFO - Batch 199: 1000 rows inserted
[2024-12-19T06:51:38.473+0000] {logging_mixin.py:190} INFO - Batch 200: 1000 rows inserted
[2024-12-19T06:51:38.525+0000] {logging_mixin.py:190} INFO - Batch 201: 1000 rows inserted
[2024-12-19T06:51:38.594+0000] {logging_mixin.py:190} INFO - Batch 202: 1000 rows inserted
[2024-12-19T06:51:38.955+0000] {logging_mixin.py:190} INFO - Batch 203: 1000 rows inserted
[2024-12-19T06:51:39.053+0000] {logging_mixin.py:190} INFO - Batch 204: 1000 rows inserted
[2024-12-19T06:51:39.123+0000] {logging_mixin.py:190} INFO - Batch 205: 1000 rows inserted
[2024-12-19T06:51:39.197+0000] {logging_mixin.py:190} INFO - Batch 206: 1000 rows inserted
[2024-12-19T06:51:39.268+0000] {logging_mixin.py:190} INFO - Batch 207: 1000 rows inserted
[2024-12-19T06:51:39.327+0000] {logging_mixin.py:190} INFO - Batch 208: 1000 rows inserted
[2024-12-19T06:51:39.400+0000] {logging_mixin.py:190} INFO - Batch 209: 1000 rows inserted
[2024-12-19T06:51:39.478+0000] {logging_mixin.py:190} INFO - Batch 210: 1000 rows inserted
[2024-12-19T06:51:39.540+0000] {logging_mixin.py:190} INFO - Batch 211: 1000 rows inserted
[2024-12-19T06:51:39.620+0000] {logging_mixin.py:190} INFO - Batch 212: 1000 rows inserted
[2024-12-19T06:51:39.705+0000] {logging_mixin.py:190} INFO - Batch 213: 1000 rows inserted
[2024-12-19T06:51:39.778+0000] {logging_mixin.py:190} INFO - Batch 214: 1000 rows inserted
[2024-12-19T06:51:39.848+0000] {logging_mixin.py:190} INFO - Batch 215: 1000 rows inserted
[2024-12-19T06:51:39.908+0000] {logging_mixin.py:190} INFO - Batch 216: 1000 rows inserted
[2024-12-19T06:51:39.967+0000] {logging_mixin.py:190} INFO - Batch 217: 1000 rows inserted
[2024-12-19T06:51:40.031+0000] {logging_mixin.py:190} INFO - Batch 218: 1000 rows inserted
[2024-12-19T06:51:40.080+0000] {logging_mixin.py:190} INFO - Batch 219: 1000 rows inserted
[2024-12-19T06:51:40.132+0000] {logging_mixin.py:190} INFO - Batch 220: 1000 rows inserted
[2024-12-19T06:51:40.197+0000] {logging_mixin.py:190} INFO - Batch 221: 1000 rows inserted
[2024-12-19T06:51:40.250+0000] {logging_mixin.py:190} INFO - Batch 222: 1000 rows inserted
[2024-12-19T06:51:40.318+0000] {logging_mixin.py:190} INFO - Batch 223: 1000 rows inserted
[2024-12-19T06:51:40.411+0000] {logging_mixin.py:190} INFO - Batch 224: 1000 rows inserted
[2024-12-19T06:51:40.481+0000] {logging_mixin.py:190} INFO - Batch 225: 1000 rows inserted
[2024-12-19T06:51:40.540+0000] {logging_mixin.py:190} INFO - Batch 226: 1000 rows inserted
[2024-12-19T06:51:40.596+0000] {logging_mixin.py:190} INFO - Batch 227: 1000 rows inserted
[2024-12-19T06:51:40.656+0000] {logging_mixin.py:190} INFO - Batch 228: 1000 rows inserted
[2024-12-19T06:51:40.744+0000] {logging_mixin.py:190} INFO - Batch 229: 1000 rows inserted
[2024-12-19T06:51:40.819+0000] {logging_mixin.py:190} INFO - Batch 230: 1000 rows inserted
[2024-12-19T06:51:40.901+0000] {logging_mixin.py:190} INFO - Batch 231: 1000 rows inserted
[2024-12-19T06:51:40.971+0000] {logging_mixin.py:190} INFO - Batch 232: 1000 rows inserted
[2024-12-19T06:51:41.041+0000] {logging_mixin.py:190} INFO - Batch 233: 1000 rows inserted
[2024-12-19T06:51:41.109+0000] {logging_mixin.py:190} INFO - Batch 234: 1000 rows inserted
[2024-12-19T06:51:41.170+0000] {logging_mixin.py:190} INFO - Batch 235: 1000 rows inserted
[2024-12-19T06:51:41.244+0000] {logging_mixin.py:190} INFO - Batch 236: 1000 rows inserted
[2024-12-19T06:51:41.341+0000] {logging_mixin.py:190} INFO - Batch 237: 1000 rows inserted
[2024-12-19T06:51:41.401+0000] {logging_mixin.py:190} INFO - Batch 238: 1000 rows inserted
[2024-12-19T06:51:41.462+0000] {logging_mixin.py:190} INFO - Batch 239: 1000 rows inserted
[2024-12-19T06:51:41.550+0000] {logging_mixin.py:190} INFO - Batch 240: 1000 rows inserted
[2024-12-19T06:51:41.678+0000] {logging_mixin.py:190} INFO - Batch 241: 1000 rows inserted
[2024-12-19T06:51:41.760+0000] {logging_mixin.py:190} INFO - Batch 242: 1000 rows inserted
[2024-12-19T06:51:41.850+0000] {logging_mixin.py:190} INFO - Batch 243: 1000 rows inserted
[2024-12-19T06:51:41.910+0000] {logging_mixin.py:190} INFO - Batch 244: 1000 rows inserted
[2024-12-19T06:51:41.962+0000] {logging_mixin.py:190} INFO - Batch 245: 1000 rows inserted
